id;contenu;date_envoi;emetteur_id;discussion_id
ba1cb395-2115-4fbc-8bcd-f6d4447f2830;../fake-data/blob/hipster.txt;2026-08-20T09:24:33;4ee86843-86c4-4d70-b3ff-2798120f8bbd;92ae9a81-1121-4ef2-a04b-4d4df797fd5e
aff7e8da-e098-482e-bed4-46a6f507ca41;../fake-data/blob/hipster.txt;2026-08-21T03:07:01;0cfa904c-c46a-47ea-9fcd-3d13d22ddba4;caa9d93f-5991-4ae9-8d26-695410f55f8f
fc4e6d73-2a1f-4bf8-9c66-b4f5e7dc1a87;../fake-data/blob/hipster.txt;2026-08-21T02:05:19;107642f5-ddb9-4a95-a917-6dd4f27aa3b4;9093b167-906e-43db-aeff-dbdc4ca775af
06d024d6-4cbc-4355-90f0-0d81b6d66032;../fake-data/blob/hipster.txt;2026-08-20T10:30:14;b5bfd2fc-592d-4043-8218-646e828eaac4;3c52ab2a-5dea-440a-bcc2-fe624e6c731c
ce1614e6-09fa-4c01-82fd-6a843eb0ebb3;../fake-data/blob/hipster.txt;2026-08-20T19:08:56;ddc63f6d-7707-4ba4-acb3-a653bb2bcb24;400a8666-5ec7-427d-9558-0814178c4759
ae61a1f1-b1e7-4eb8-97f5-3049ca1a0e05;../fake-data/blob/hipster.txt;2026-08-21T06:47:11;a29beaa3-c148-4c30-b44a-614c9a26f509;89c047d7-df50-4354-a701-e167c82b3ddf
92098e5f-ce69-471e-8841-f00057d10f7c;../fake-data/blob/hipster.txt;2026-08-20T10:10:37;48bbb3db-1a77-467e-b36c-6377bb4e3a10;5a8a6aee-704d-4cf8-bb9d-25fcad512708
12faad07-30fa-435d-b896-611d159be181;../fake-data/blob/hipster.txt;2026-08-20T20:33:21;71f11f48-02f2-4db2-a7e0-1e0d38f9b81f;2d7be7bf-cca7-42ad-a49d-26c6c66b8b4c
ca75183d-edcc-48bc-a4f4-b95edfe3bf4e;../fake-data/blob/hipster.txt;2026-08-20T17:10:53;c40ae156-0286-49b5-a3d7-07671f8ebf40;1511c41e-db98-4394-b50e-94d4aa3e320e
51bb86eb-a4f6-4e25-a70c-4afeb5fe8f93;../fake-data/blob/hipster.txt;2026-08-20T16:36:08;e000eca9-73e3-407f-acd7-95e2e607124d;af699fc1-dc5d-485e-a345-eaea36dd8309
d0a5d4e0-aef9-48db-a95f-8da6f124d623;../fake-data/blob/hipster.txt;2026-08-20T13:10:48;fd95fc08-8764-4e4c-995b-c8df9a2ea944;b2073c73-7c43-415b-ba5a-7b6ed3426ec1
d1936397-3602-4db8-b28c-f8d6043c3ade;../fake-data/blob/hipster.txt;2026-08-20T15:15:09;937ed8ec-af7e-41b4-8b01-07c8570f6a07;a7549592-6882-4cc8-bafd-1d749969d7ab
81af6b63-9b07-4024-94df-dbe27c26ece8;../fake-data/blob/hipster.txt;2026-08-21T01:19:39;12112afd-b2f5-4b86-bbeb-94bb3d57feb0;67dd32a1-ecb6-4084-9af3-435b91c5524a
a2192aa5-671f-4dfa-9734-ceb2d5d3224e;../fake-data/blob/hipster.txt;2026-08-20T17:50:49;a2180994-4c72-4896-9509-28e3573d4b05;2258f919-c342-46ab-b31c-9c573a611b3d
ea0e4873-065d-4183-a2d6-c175fbca0a82;../fake-data/blob/hipster.txt;2026-08-20T19:24:18;6451812c-aa69-4e6b-b693-750141c857c6;32293c83-42ab-4e70-9bc8-2cf3a9728850
b7765c2d-8eda-4ca7-b0de-e1ac5f3ba41f;../fake-data/blob/hipster.txt;2026-08-21T04:15:38;d0b1135f-e45a-47b9-9e6d-be25febbf77f;1811d629-4e50-4876-a2c7-8bc0cb2e3768
a2ee0b8d-2d64-459e-a69b-e8c39ba9cab1;../fake-data/blob/hipster.txt;2026-08-21T03:02:59;806f8d82-5461-4305-9799-aa7580839919;2f9cdf23-42fd-497a-b3ea-65460039d9d3
47a449fd-777f-465c-8065-c47e7bfd754f;../fake-data/blob/hipster.txt;2026-08-20T13:49:04;aaaf9d5d-b98b-4336-9987-564a463413a9;ee8d16d3-5426-4f92-9ee0-f4b3b25dc7a5
1415f52c-b2db-4e63-9e91-aa725f96062b;../fake-data/blob/hipster.txt;2026-08-21T07:04:13;5db40192-a120-4dde-8591-74695645ecc6;ba4ba003-ed9f-40ae-87dd-dc792c2f58eb
1f9756f0-2103-41e5-99f8-a0cc10877aa1;../fake-data/blob/hipster.txt;2026-08-20T16:52:58;caca9da3-1611-462a-b5dc-8c17f586a943;02be90e0-3bf1-4715-baef-18bc893075bb
38f3702a-c15a-4566-836a-5f2a16aa8651;../fake-data/blob/hipster.txt;2026-08-20T10:00:05;8a8889e1-88f4-4e77-b6cc-f14e8d70fae1;10b77a1c-28ee-4686-909e-66e15fe51ad1
f605fe64-6b09-48d9-be8b-c1c1c752ae37;../fake-data/blob/hipster.txt;2026-08-20T17:29:19;d8d69235-68c5-43c8-8084-8f3f0ec7bc1d;963d8dfd-e797-4639-abd2-b3b4a7438b17
