id;titre;description;type_contenu;statut;version;date_publication;derniere_mise_a_jour;prochaine_revue;mots_cles;transcription;progression;date_creation;application_id;module_id;metier_id;auteur_id
92204f32-6e9a-4b74-ad35-edaa61f02ae1;hmph;../fake-data/blob/hipster.txt;FAQ;PUBLIER;9479;2026-08-20T10:24:29;2026-08-20T20:31:57;2026-08-20T19:33:26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;88;2026-08-21T07:57:25;e6087902-e116-4a69-9c04-f9269aec9381;c841147d-09d6-4cb8-9538-c9b71123a9f5;29931fb6-6bfe-4e91-9ec5-86b441d87260;4ee86843-86c4-4d70-b3ff-2798120f8bbd
df8b6b8e-1f66-4bef-be01-45b9eda4e483;sticker pleased;../fake-data/blob/hipster.txt;FAQ;A_REVISER;1779;2026-08-20T11:59:36;2026-08-20T17:05:34;2026-08-21T08:41:29;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;67;2026-08-20T22:50:21;c874c763-6bc4-4080-b4ca-15d43b63ae25;50e32f1f-522b-47a2-a19e-e38a05c3bc34;efe8d8e9-edbb-413c-94e7-12cb21954627;0cfa904c-c46a-47ea-9fcd-3d13d22ddba4
b4b29ef6-6c7b-40ce-8ccc-1d53b7180f2f;unfortunately square electronics;../fake-data/blob/hipster.txt;VIDEO;EN_ATTENTE_VALIDATION;23152;2026-08-21T03:10:01;2026-08-21T08:33:13;2026-08-20T11:00:28;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;5;2026-08-21T04:56:04;3560352f-20ed-4f9e-8220-6225e78c9f42;6cf4ef14-2299-4ba5-9dc8-d330ab522e90;b27fc7fb-edc0-41f7-b66e-19b798a4374f;107642f5-ddb9-4a95-a917-6dd4f27aa3b4
6c08eea8-c359-4e2e-a21a-bed4f4bcb780;supposing;../fake-data/blob/hipster.txt;VIDEO;PUBLIER;23706;2026-08-21T06:10:06;2026-08-21T00:33:55;2026-08-20T21:04:16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;10;2026-08-21T00:43:38;2915c1fd-7931-4bab-b309-2c09f03e1fdb;23f1feea-df92-4ee8-b30b-3adb6b3eabbe;9888a1fb-87a6-4a58-8b00-429b451c6014;b5bfd2fc-592d-4043-8218-646e828eaac4
06730d87-37d2-4db8-a7a0-7468fc02c3e1;despite veg sin;../fake-data/blob/hipster.txt;FICHEPRATIQUE;EN_ATTENTE_VALIDATION;18724;2026-08-20T13:55:30;2026-08-21T08:30:10;2026-08-20T20:30:45;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;21;2026-08-21T04:36:49;48d4290e-8461-431e-916f-648f1ab58212;d86a95bc-c130-4d9d-9eda-88f4bb7844d0;9b501c98-a031-4f7f-9aee-da587c9f3efd;ddc63f6d-7707-4ba4-acb3-a653bb2bcb24
cab72571-ab7e-4df9-9ef7-e2323b690c25;fatherly outdo;../fake-data/blob/hipster.txt;VIDEO;A_REVISER;25825;2026-08-20T14:26:47;2026-08-20T22:15:27;2026-08-20T15:19:55;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;17;2026-08-20T23:13:18;66e2400c-7fcf-4a19-bda3-8ccb3c6b61d6;68f0d886-7759-4644-b2d6-fea6c0168ae6;f62431b1-995d-44b3-9880-e5b16f7855ac;a29beaa3-c148-4c30-b44a-614c9a26f509
53c6b2de-0cb1-4243-bbec-2271413be50c;eek sudden an;../fake-data/blob/hipster.txt;FAQ;VALIDER;16479;2026-08-20T13:23:53;2026-08-20T10:32:23;2026-08-20T16:06:33;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;88;2026-08-21T03:35:49;5614c356-c2ca-4bfc-853f-b14fda11cb83;0d6e70d0-ccad-4b82-b1a5-09074137742a;25acd22f-abc3-483e-96ab-f7d3507b09c3;48bbb3db-1a77-467e-b36c-6377bb4e3a10
4b851c44-707c-43b4-a5fd-6b20a63be8d7;tributary;../fake-data/blob/hipster.txt;FAQ;PUBLIER;9845;2026-08-20T18:17:21;2026-08-20T12:33:31;2026-08-20T17:08:49;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;87;2026-08-21T02:20:07;cec61f9f-75dd-4a20-80da-85bc7eb34de8;0d522a67-a4bb-4938-9807-809f882598ad;e78f0cbb-6de8-4d68-bd20-f18f0ae02ce2;71f11f48-02f2-4db2-a7e0-1e0d38f9b81f
f6f4f828-88c0-4ee9-8dad-e13ad34024d6;leading provided;../fake-data/blob/hipster.txt;FAQ;VALIDER;29459;2026-08-20T15:54:50;2026-08-20T21:05:43;2026-08-20T09:44:55;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;81;2026-08-21T02:50:04;41d84f09-4450-485c-aba6-5630b56efe98;f18bd7ae-8a72-45f8-be32-763472f0125a;5ae31696-71e9-49e0-bd60-385e36175d6a;c40ae156-0286-49b5-a3d7-07671f8ebf40
15e7c840-447c-46bf-8b60-41ae3c3ccf67;now;../fake-data/blob/hipster.txt;FAQ;EN_ATTENTE_VALIDATION;4096;2026-08-20T16:06:06;2026-08-20T17:01:33;2026-08-20T11:26:51;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;15;2026-08-21T05:57:06;d1380f59-c178-4d09-ae0d-be7e856ba899;cdf62e53-967a-44a9-afa3-cd773c6d8715;4332c7fd-7819-4da5-a4d6-508ed08ee382;e000eca9-73e3-407f-acd7-95e2e607124d
cd408a3d-79b4-486c-9b5f-81e445517881;gee steak per;../fake-data/blob/hipster.txt;FICHEPRATIQUE;ARCHIVER;23388;2026-08-20T23:27:12;2026-08-20T10:12:50;2026-08-21T02:24:06;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;100;2026-08-20T10:45:19;2a202b1c-fb6a-4569-bf45-b9032044e827;bfed218b-95ce-479a-9e8e-ab4dbd897f17;07b3e2d1-6f7a-4203-80bb-1183ab0e5f07;fd95fc08-8764-4e4c-995b-c8df9a2ea944
456d8b27-de79-49bd-b933-51458bf2cbf0;tomorrow give boss;../fake-data/blob/hipster.txt;FICHEPRATIQUE;A_REVISER;27297;2026-08-20T17:24:01;2026-08-21T06:52:33;2026-08-21T04:23:09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;64;2026-08-21T00:07:51;ad12356e-48c6-4e43-8103-cb3ff3ef736a;e12049e3-7702-4134-ab69-45dc179899f1;b1761d8a-19c7-42df-8676-b4b1b62d566c;937ed8ec-af7e-41b4-8b01-07c8570f6a07
f9aa3708-4567-48c4-9545-d224dd9d603b;scent hype as;../fake-data/blob/hipster.txt;FICHEPRATIQUE;PUBLIER;29996;2026-08-20T15:29:53;2026-08-20T20:17:48;2026-08-20T11:12:04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;70;2026-08-21T04:57:56;7b008e47-e741-45c8-b921-c51fa17e69cf;ffadd1bd-7b5e-4e7d-bb94-5d598c4c32cd;e2d39115-c18c-4054-a445-27bfd6e2d21b;12112afd-b2f5-4b86-bbeb-94bb3d57feb0
d0afe303-7b76-4bb9-bb63-a1b662f429c8;reword;../fake-data/blob/hipster.txt;FICHEPRATIQUE;PUBLIER;31901;2026-08-20T09:24:38;2026-08-20T13:26:11;2026-08-20T19:53:00;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;35;2026-08-21T03:19:52;dac54b56-ab46-4f9b-a2d1-1f37c81d075b;4d3de4ab-2b4e-4d91-9c41-fae231ddee1d;56eaefa8-575e-4bd6-b381-6733877a34ee;a2180994-4c72-4896-9509-28e3573d4b05
a57ce07a-45fe-4f96-b080-cf3f3f9ce3be;mesh;../fake-data/blob/hipster.txt;VIDEO;PUBLIER;6102;2026-08-20T19:31:51;2026-08-21T03:10:00;2026-08-20T12:03:38;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;0;2026-08-20T14:48:31;c9e72533-d289-45db-b1da-ecab06123d7f;c7a09666-40a2-406c-9775-e4bb80076e7a;e2c4455a-989c-4633-8ef2-cf096fd52e58;6451812c-aa69-4e6b-b693-750141c857c6
5c1f946f-1020-4b3b-947b-19cc290d4186;upwardly pish;../fake-data/blob/hipster.txt;FICHEPRATIQUE;EN_ATTENTE_VALIDATION;31069;2026-08-21T07:14:16;2026-08-21T07:45:02;2026-08-21T03:03:15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;92;2026-08-21T00:19:33;8b893351-1ff8-40c1-ba21-f40e24395162;5d2094a8-b7f9-4ad7-bc2c-4e5d3efe1471;5675e623-659a-40d4-8b2b-213a4bce2aec;d0b1135f-e45a-47b9-9e6d-be25febbf77f
fe2e8b53-6c15-47ad-8f92-943261092642;fund accentuate;../fake-data/blob/hipster.txt;FAQ;PUBLIER;2652;2026-08-21T09:16:10;2026-08-20T21:17:43;2026-08-20T23:51:35;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;43;2026-08-20T20:00:42;f90d1346-b70d-415a-a58b-b01d4b77c5b3;7cf93b3a-a81b-4b11-97ed-50ec60d7ead2;4c18087b-2dd8-432e-a295-c0276731f603;806f8d82-5461-4305-9799-aa7580839919
2660fb39-8454-4c3e-babc-db9e581f3e32;scaly snuggle;../fake-data/blob/hipster.txt;VIDEO;ARCHIVER;31174;2026-08-21T08:28:05;2026-08-20T14:37:55;2026-08-20T12:07:11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;52;2026-08-21T06:31:51;1bc08de2-4b6b-4eab-9235-d6ac703ff074;04068204-b66a-4e48-95fd-2152c93cd75a;33ff2ecf-b1aa-4850-b5b7-0e96489ca4db;aaaf9d5d-b98b-4336-9987-564a463413a9
