id;utilisateur_id;role_id
28af7385-162c-4bb9-ab27-855cfb9f4018;4ee86843-86c4-4d70-b3ff-2798120f8bbd;5887b91b-906e-4f4d-9661-94408dbaa419
fed2d68a-d995-4902-abbc-7e71fcf272cd;0cfa904c-c46a-47ea-9fcd-3d13d22ddba4;a56481fb-f36b-4fdf-99a5-79baacde5625
3f7f1023-e874-403c-8a2d-6690172db8ef;107642f5-ddb9-4a95-a917-6dd4f27aa3b4;7b485af0-5a82-497a-bc9c-3cc5ca3f4517
8b7aa010-bc61-4a30-8d2f-d045ba674ee8;b5bfd2fc-592d-4043-8218-646e828eaac4;e21c6f63-610b-4b47-94f1-036fe324ab1f
e589819d-575a-43ea-be3d-0b40bb92a0cf;ddc63f6d-7707-4ba4-acb3-a653bb2bcb24;1d36b56a-3803-4284-b22c-21c9f0665c5f
d4884fac-5815-4ca4-8507-00b464d0df2c;a29beaa3-c148-4c30-b44a-614c9a26f509;46ed6893-aa39-47b7-967e-5a71f747a902
9b4fe64d-5b9c-4c9e-a364-4a02efa10a1f;48bbb3db-1a77-467e-b36c-6377bb4e3a10;4ff26b66-e36f-48e0-bf5e-a53f39e66745
36deba4f-47a3-4e4a-b929-81178cf27a76;71f11f48-02f2-4db2-a7e0-1e0d38f9b81f;3c5b5b7f-659d-4b24-991e-4e3543ac040d
c7f1ea34-5ed0-4e6d-ac9c-ad6b2691b195;c40ae156-0286-49b5-a3d7-07671f8ebf40;7a497cf7-6c78-4b50-bb15-f9646453a653
60271ee6-c0cc-4db2-bbce-a320c430ecfd;e000eca9-73e3-407f-acd7-95e2e607124d;f86e46c8-6105-413d-b6b9-09a57ed1d478
18e64633-59d9-44b3-aabe-849869354e05;fd95fc08-8764-4e4c-995b-c8df9a2ea944;36936e78-3950-472c-9691-197382738ab5
efc96a9e-507e-42ee-b613-3808425bd0c8;937ed8ec-af7e-41b4-8b01-07c8570f6a07;fe1ae574-f6b8-4053-95d6-74bebba8875a
7cec7e37-3ce2-4230-b8a1-b68587ee0f59;12112afd-b2f5-4b86-bbeb-94bb3d57feb0;a82c4330-f190-44d2-a667-120c192f4f32
0d072102-b19c-4659-b68d-7cb01caea65b;a2180994-4c72-4896-9509-28e3573d4b05;366b9762-f64c-4921-a596-3be31536250d
7447de0d-5f28-435c-9f2f-966deafca01d;6451812c-aa69-4e6b-b693-750141c857c6;4e02d92f-908f-4318-b1ab-f5cb186d175f
0059d47c-7d18-4b53-9665-55cbe8fc7692;d0b1135f-e45a-47b9-9e6d-be25febbf77f;63b043e1-8e23-43e3-ad76-cd1dffcbc123
99ef9801-a33f-4c27-8661-50f449530c86;806f8d82-5461-4305-9799-aa7580839919;4360c74a-3962-41af-9f2a-d0faa8aed7f8
634999d4-fbb4-407d-9108-3b18c7ed701b;aaaf9d5d-b98b-4336-9987-564a463413a9;5ce73f85-e811-4122-8fc2-21b22339c540
396e8a6d-9e2a-414b-aef8-43c0ba2d2ca6;5db40192-a120-4dde-8591-74695645ecc6;0a1ed56a-ea17-4e06-9905-869d49780aa2
0fa0c442-5f68-49b1-87b1-6cc916a7f311;caca9da3-1611-462a-b5dc-8c17f586a943;5e353426-4e7a-48b2-9853-458f4785d5d3
d7dcc62c-2f4b-41ac-b3d4-e3e50aafbb5b;8a8889e1-88f4-4e77-b6cc-f14e8d70fae1;ca88af84-f621-4411-b8c1-508e53c755d5
3706bb45-0ee2-4098-b89c-2a6463d97375;d8d69235-68c5-43c8-8084-8f3f0ec7bc1d;3aa1e003-fc84-495a-982c-ac80c99a656c
d196524b-5f35-451b-8bb4-c5f9bc840229;df3727ce-22a6-48e4-bddc-1ece9b145f60;06138de0-8609-4839-8072-4892fa3ac088
cdd070be-23af-4e36-91d8-aacf231f7e23;06afb3ed-af47-45a5-83b8-c16e2fbb1834;37a27962-3097-411a-8db1-9e4ec81f99f6
55fd38d0-b9c9-4860-86ab-396805700d1c;e0098ab8-4adc-4256-a8d7-9cb4b3197648;be42f348-be42-4c7c-a728-bf089a94cc90
a4697a82-18ea-4c53-bcd0-8e0c852fe236;4c305472-1339-474f-9002-15bb834dfe2f;fb11d47d-0488-4f18-926b-6f95ee257997
f23824d1-6280-4e81-b7b6-bd1675ce58dc;d3b2d626-1818-4365-8e62-45b3c88f88b9;bed0ef99-d190-4ae7-92e6-0ca4ea256b7f
57ad048d-6289-4f87-91d9-391ddc87da65;5f726ea4-dbb1-44ec-a7de-82219db95fe6;194ff8d1-dbc8-4eab-b528-b68f0b93d898
3b400e10-1bf3-4ab5-b582-2aa1fd474c3b;63778537-ebe9-4e41-b857-78dee8b442b2;63989485-e850-4b3a-8f1d-c50f1787f2d9
617cace6-78e7-4558-bb92-3df68a8fb755;3095f003-151b-40f9-8937-7396e61b170a;7133285d-9344-42cf-82e4-5dbd605e91fd
