id;motif;date_signalement;statut;utilisateur_id;contenu_id
a1d66be3-0718-4e63-82d2-c7be116216c3;../fake-data/blob/hipster.txt;2026-08-20T15:51:22;A_TRAITER;4ee86843-86c4-4d70-b3ff-2798120f8bbd;92204f32-6e9a-4b74-ad35-edaa61f02ae1
41fc6f56-fd99-4d68-81a6-ab98589b6796;../fake-data/blob/hipster.txt;2026-08-20T11:37:39;A_TRAITER;0cfa904c-c46a-47ea-9fcd-3d13d22ddba4;df8b6b8e-1f66-4bef-be01-45b9eda4e483
f2aea6e8-a381-4628-8f61-8450a115d669;../fake-data/blob/hipster.txt;2026-08-21T04:52:55;A_TRAITER;107642f5-ddb9-4a95-a917-6dd4f27aa3b4;b4b29ef6-6c7b-40ce-8ccc-1d53b7180f2f
ecaae43f-fc5f-4463-b5bc-96df70dd969e;../fake-data/blob/hipster.txt;2026-08-21T01:47:40;A_TRAITER;b5bfd2fc-592d-4043-8218-646e828eaac4;6c08eea8-c359-4e2e-a21a-bed4f4bcb780
9f8ef0c8-4ba2-4889-9028-e0ed5a6a1079;../fake-data/blob/hipster.txt;2026-08-21T09:19:32;ATTENTE;ddc63f6d-7707-4ba4-acb3-a653bb2bcb24;06730d87-37d2-4db8-a7a0-7468fc02c3e1
e0d24c12-0458-478f-8cb4-42d5c2021282;../fake-data/blob/hipster.txt;2026-08-20T19:25:12;TRAITER;a29beaa3-c148-4c30-b44a-614c9a26f509;cab72571-ab7e-4df9-9ef7-e2323b690c25
6cad4ef0-f14b-4b9a-a759-68ce6260a998;../fake-data/blob/hipster.txt;2026-08-20T20:41:08;A_TRAITER;48bbb3db-1a77-467e-b36c-6377bb4e3a10;53c6b2de-0cb1-4243-bbec-2271413be50c
75907877-e9c7-4509-b99e-c2e2cf79d2f4;../fake-data/blob/hipster.txt;2026-08-21T03:10:45;TRAITER;71f11f48-02f2-4db2-a7e0-1e0d38f9b81f;4b851c44-707c-43b4-a5fd-6b20a63be8d7
d8c2ea27-a244-4f2f-977d-fc60849f9bba;../fake-data/blob/hipster.txt;2026-08-21T06:09:52;ATTENTE;c40ae156-0286-49b5-a3d7-07671f8ebf40;f6f4f828-88c0-4ee9-8dad-e13ad34024d6
68a64858-6bd4-45f2-bf80-77fbad9105e4;../fake-data/blob/hipster.txt;2026-08-21T02:31:02;A_TRAITER;e000eca9-73e3-407f-acd7-95e2e607124d;15e7c840-447c-46bf-8b60-41ae3c3ccf67
e39f1c68-6011-49c1-9571-b5e8fd2459c8;../fake-data/blob/hipster.txt;2026-08-21T01:32:20;ATTENTE;fd95fc08-8764-4e4c-995b-c8df9a2ea944;cd408a3d-79b4-486c-9b5f-81e445517881
